graph_type,n,m,max_flow,r,exec_time_ms,s_bar,t_bar,i_bar,d_bar,u_bar
random_level,8102,24210,65941,9.0166e-05,79466,0.950238,0.606759,0,0,0
random_level,8466,25300,67158,8.87997e-05,76837,0.944104,0.607294,0,0,0
random_level,8838,26414,67737,8.17316e-05,81379,0.943494,0.604144,0,0,0
random_level,9218,27552,69343,7.97718e-05,96912,0.938842,0.602957,0,0,0
basic_line,2502,47012,612620,5.98177e-05,26400,0.993499,0.508764,0,0,0
basic_line,2706,51379,634382,5.32541e-05,31571,0.984964,0.502761,0,0,0
basic_line,2918,56013,664586,4.80771e-05,39020,0.991404,0.506982,0,0,0
basic_line,3138,61013,687430,4.32365e-05,44700,0.990855,0.506531,0,0,0
basic_line,3366,65938,706236,3.95409e-05,48192,0.993127,0.507882,0,0,0
basic_line,3602,71293,707210,3.41826e-05,53395,0.988197,0.50445,0,0,0
basic_line,3846,76932,756008,3.31282e-05,80453,0.994488,0.509371,0,0,0
basic_line,4098,82430,777356,2.99173e-05,79832,0.991926,0.507346,0,0,0
basic_line,4358,88468,804970,2.77582e-05,115755,0.992024,0.507786,0,0,0
basic_line,4626,94566,823116,2.50627e-05,122852,0.992631,0.508068,0,0,0
basic_line,4902,100785,847066,2.37467e-05,130676,0.992562,0.508449,0,0,0
basic_line,5186,107286,876175,2.20423e-05,146010,0.994372,0.509708,0,0,0
basic_line,5478,113816,898146,2.06902e-05,147418,0.995708,0.510717,0,0,0
basic_line,5778,120774,891303,1.86205e-05,171775,0.993382,0.508869,0,0,0
basic_line,6086,127810,950017,1.80523e-05,181551,0.99505,0.51013,0,0,0
basic_line,6402,135227,959314,1.66658e-05,166093,0.995163,0.509676,0,0,0
basic_line,6726,142415,995063,1.60374e-05,213346,0.992136,0.50818,0,0,0
basic_line,7058,150365,1022896,1.4982e-05,212446,0.994426,0.509449,0,0,0
basic_line,7398,158118,1016410,1.34421e-05,240000,0.994132,0.509098,0,0,0
basic_line,7746,166286,1079027,1.32992e-05,232843,0.996086,0.510687,0,0,0
basic_line,8102,174493,1095073,1.26275e-05,327322,0.995204,0.510047,0,0,0
basic_line,8466,182936,1116795,1.19594e-05,337994,0.996262,0.511014,0,0,0
basic_line,8838,191818,1153669,1.13833e-05,335481,0.994567,0.510217,0,0,0
basic_line,9218,200627,1142954,1.05192e-05,334535,0.995668,0.51077,0,0,0
