graph_type,n,m,max_flow,r,exec_time_ms,s_bar,t_bar,i_bar,d_bar,u_bar
matching,7972,107595,3985,0.00309743,5231,6.95319e-310,0,0.342127,0.00906097,0
matching,8302,112050,4150,0.00308231,5436,6.95298e-310,0,0.341002,0.00917836,0
matching,8632,116505,4315,0.00306792,6009,6.95321e-310,0,0.334518,0.0086081,0
matching,8962,120960,4480,0.0030542,6164,6.9529e-310,0,0.334123,0.00842856,0
matching,9292,125415,4645,0.0030411,6516,6.95274e-310,0,0.332387,0.00831998,0
matching,9622,129870,4810,0.00302855,6245,6.95293e-310,0,0.333007,0.00824381,0
matching,9952,134325,4975,0.00301653,7374,6.95252e-310,0,0.330549,0.00805688,0
matching,10282,138780,5140,0.003005,7285,6.95288e-310,0,0.329008,0.00779619,0
matching,10612,143235,5305,0.00299391,8200,6.9533e-310,0,0.32604,0.00738603,0
matching,10942,147690,5470,0.00298324,8352,6.95325e-310,0,0.325421,0.00738363,0
matching,11272,152145,5635,0.00297295,8963,6.95323e-310,0,0.324259,0.00745109,0
matching,11602,156600,5800,0.00296304,8753,6.95291e-310,0,0.322713,0.00725735,0
matching,11932,161055,5965,0.00295346,9001,6.95306e-310,0,0.322294,0.00692125,0
matching,12262,165510,6130,0.00294421,9382,6.95262e-310,0,0.320247,0.00688225,0
matching,12592,169965,6295,0.00293526,17711,6.95278e-310,0,0.320079,0.00680309,0
basic_line,2502,47012,612620,0.00175041,17818,6.95304e-310,0,0.974782,0.861467,0.0436618
basic_line,2706,51379,634382,0.00159442,18770,6.95289e-310,0,0.96683,0.852407,0.0428982
basic_line,2918,56013,664586,0.00134668,7892,6.95282e-310,0,0.780936,0.29767,0.0231584
basic_line,3138,61013,687430,0.00153242,13375,6.95315e-310,0,0.807589,0.421519,0.0246324
basic_line,3366,65938,706236,0.00157982,17114,6.95263e-310,0,0.805796,0.446071,0.0216237
basic_line,3602,71293,707210,0.00125528,29065,6.95273e-310,0,0.964224,0.880047,0.0389598
basic_line,3846,76932,756008,0.00142445,22011,6.9529e-310,0,0.807724,0.453825,0.0275406
basic_line,4098,82430,777356,0.00122256,38779,6.9526e-310,0,0.962308,0.84055,0.0369839
basic_line,4358,88468,804970,0.00124336,42487,6.95282e-310,0,0.957075,0.768538,0.0320265
basic_line,4626,94566,823116,0.000968631,17194,6.95265e-310,0,0.718089,0.272666,0.0185686
basic_line,4902,100785,847066,0.00130551,37627,6.95279e-310,0,0.807665,0.465913,0.0253975
basic_line,5186,107286,876175,0.000989179,30869,6.95316e-310,0,0.731442,0.342962,0.0236713
basic_line,5478,113816,898146,0.00106047,43029,6.95276e-310,0,0.77201,0.414134,0.0245291
basic_line,5778,120774,891303,0.000929555,82002,6.95272e-310,0,0.963996,0.89744,0.0370038
basic_line,6086,127810,950017,0.000872735,34179,6.95301e-310,0,0.746691,0.327037,0.0241586
basic_line,6402,135227,959314,0.000877127,40233,6.95295e-310,0,0.746788,0.347254,0.0217651
basic_line,6726,142415,995063,0.00101778,100647,6.95279e-310,0,0.931015,0.755539,0.0249433
basic_line,7058,150365,1022896,0.000984703,75662,6.95309e-310,0,0.793345,0.446149,0.0221978
basic_line,7398,158118,1016410,0.000695665,116766,6.95297e-310,0,0.985342,0.944186,0.0424248
basic_line,7746,166286,1079027,0.000703357,52988,6.95274e-310,0,0.732573,0.279832,0.01947
basic_line,8102,174493,1095073,0.0007664,72489,6.95322e-310,0,0.749361,0.362596,0.0247246
basic_line,8466,182936,1116795,0.000750132,70160,6.95309e-310,0,0.720263,0.356608,0.0235834
basic_line,8838,191818,1153669,0.000739362,78970,6.95254e-310,0,0.764088,0.366262,0.0227806
basic_line,9218,200627,1142954,0.000620683,171822,6.95306e-310,0,0.986177,0.937821,0.0404756
